sic_code,company_name,symbol,year,rq,rq_trend,aq,aq_trend,rd,rstar,rd_under_ratio,rd_under_trend,rd_under_amt,rd_increase_profit,rd_cut_profit,adv,astar,adv_under_ratio,adv_under_trend,adv_under_amt,adv_increase_profit,adv_cut_profit
3661,ADC TELECOMMUNICATIONS INC,ADCT,2005,93,,,,59.1,80.1,0.74,,21,1171.5,,0,,,,,,
3661,ADC TELECOMMUNICATIONS INC,ADCT,2006,89,,,,71.6,55.2,1.3,,,,16.4,0,,,,,,
3661,ADC TELECOMMUNICATIONS INC,ADCT,2007,85,,,,72.4,30.8,2.35,,,,41.6,0,,,,,,
3661,ADC TELECOMMUNICATIONS INC,ADCT,2008,84.4,,,,69.6,26.8,2.59,,,,42.8,0,,,,,,
3661,ADC TELECOMMUNICATIONS INC,ADCT,2009,89.7,,,,83.5,58.5,1.43,,,,25,0,,,,,,
3661,ADC TELECOMMUNICATIONS INC,ADCT,2010,92,0.92,,1.82,65.3,75.9,0.86,1.17,10.6,1157.5,,0,,,,,,
3861,AFP IMAGING CORP,IWKS,2005,89.7,,92,,0.4,1.1,0.36,,0.7,23.2,,0.2,0.2,0.83,,0,23.1,
3861,AFP IMAGING CORP,IWKS,2006,86.1,,95.7,,0.4,0.7,0.62,,0.3,25,,0.3,0.4,0.64,,0.2,25,
3861,AFP IMAGING CORP,IWKS,2007,85.7,,96.5,,0.7,0.8,0.89,,0.1,28.7,,0.3,0.6,0.53,,0.3,28.7,
3861,AFP IMAGING CORP,IWKS,2008,90.2,,98.3,,1,1.7,0.59,,0.7,34.4,,0.9,0.8,1.12,,,,0.1
2834,ALPHARMA INC  -CL A,ALO.2,2005,108.4,,,,81.5,75.8,1.07,,,,5.7,0,,,,,,
2834,ALPHARMA INC  -CL A,ALO.2,2006,102.2,,,,26.9,67.5,0.4,,40.6,659.2,,0,,,,,,
2834,ALPHARMA INC  -CL A,ALO.2,2007,97.9,,,,44.4,66,0.67,,21.5,725.1,,0,,,,,,
3564,CECO ENVIRONMENTAL CORP,CECE,2005,70.6,,95.9,,0,,,,,,,0.2,1.4,0.12,,1.2,81.7,
3564,CECO ENVIRONMENTAL CORP,CECE,2006,70.8,,95.9,,0,,,,,,,0.3,2.3,0.12,,2,135.6,
